Comment,Designator,Footprint,JLCPCB Part #_optional_,,,,,,,,,,,,
DW02S,BAT1,OLIMEX_Connectors-FP:LIPO_BAT_VERTICAL_DW02S,DF02S,,,,,,,,,,,,
22uF/6.3V/20%/X5R/C0603,"C1, C6, C7, C22",OLIMEX_RLC-FP:C_0603_5MIL_DWS,CL10A226MQ8NRNC,,,,,,,,,,,,
47uF/6.3V/20%/X5R/C0805,C3,OLIMEX_RLC-FP:C_0805_5MIL_DWS,CL21A476MQYNNNE,,,,,,,,,,,,
27pF/50V/5%/C0G/C0402,"C4, C5",OLIMEX_RLC-FP:C_0402_5MIL_DWS,CC0402FRNPO9BN270,,,,,,,,,,,,
100nF/16V/10%/X7R/C0402,"C8, C29",OLIMEX_RLC-FP:C_0402_5MIL_DWS,CC0402KRX7R7BB104,,,,,,,,,,,,
1nF/50V/10%/X7R/C0402,C28,OLIMEX_RLC-FP:C_0402_5MIL_DWS,CC0402KRX7R9BB102,,,,,,,,,,,,
1uF/10V/20%/X5R/C0603,C31,OLIMEX_RLC-FP:C_0603_5MIL_DWS,CL10B105KP8NNNC,,,,,,,,,,,,
LED/YELLOW/0603,CHRG1,OLIMEX_LEDs-FP:LED_0603_KA,A-SP192GW1D-D20-4T,,,,,,,,,,,,
1N5819S4/SOD123,"D1, D3, D4, D6, D7, D9",OLIMEX_Diodes-FP:SOD-123_1C-2A_KA,1N5819W S4,,,,,,,,,,,,
BAT54C(SOT23-3),D2,OLIMEX_Diodes-FP:SOT23-3,BAT54C,,,,,,,,,,,,
WPM2015-3/TR,"FET1, FET2",OLIMEX_Transistors-FP:SOT23,WPM2015-3/TR,,,,,,,,,,,,
USB_C_Receptacle,J1,Connector_USB:USB_C_Receptacle_Molex_105450-0101-L,MOLEX,,,,,,,,,,,,
20021311-00012T4LF,"J5, J7",20021311-00012T4LF:AMPHENOL_20021311-00012T4LF,20021311-00012T4LF,,,,,,,,,,,,
2.2uH/1.5A/DCR=72mR/20%/3.00x3.00x1.50mm/CD32(NR3015T2R2M),L2,OLIMEX_RLC-FP:CD32,ANR3015T2R2M,,,,,,,,,,,,
FB0805/600R/2A,"L3, L5",OLIMEX_RLC-FP:L_0805_5MIL_DWS,BLM21SP601SZ1D,,,,,,,,,,,,
LED/RED/0603,PWR1,OLIMEX_LEDs-FP:LED_0603_KA,A-SP194BR5C-C01-3T,,,,,,,,,,,,
Q12MHz/20pF/10ppm/4P/3.2x2.5mm,Q1,OLIMEX_Crystal-FP:TSX-3.2x2.5mm_GND(3),SX3B12.000F2010F30,,,,,,,,,,,,
BC817-40(SOT23),"Q2, Q3",OLIMEX_Transistors-FP:SOT23,"BC817-40,215",,,,,,,,,,,,
10k/R0402,"R1, R6, R18, R19, R32, R36, R37, R39, R47",OLIMEX_RLC-FP:R_0402_5MIL_DWS,RC0402FR-0710KL,,,,,,,,,,,,
47k/R0402,R4,OLIMEX_RLC-FP:R_0402_5MIL_DWS,AC0402JR-0747KL,,,,,,,,,,,,
2.2k/R0402,"R5, R8, R31, R35",OLIMEX_RLC-FP:R_0402_5MIL_DWS,AC0402JR-072K2L,,,,,,,,,,,,
470k/R0402,"R7, R16",OLIMEX_RLC-FP:R_0402_5MIL_DWS,AC0402JR-07470KL,,,,,,,,,,,,
100k/R0402,R9,OLIMEX_RLC-FP:R_0402_5MIL_DWS,RC0402FR-07100KL,,,,,,,,,,,,
1k/R0402,"R20, R21",OLIMEX_RLC-FP:R_0402_5MIL_DWS,RC0402FR-071KL,,,,,,,,,,,,
220R/R0402,"R24, R45, R46",OLIMEX_RLC-FP:R_0402_5MIL_DWS,CR0402JF0221G,,,,,,,,,,,,
220k/R0402,R29,OLIMEX_RLC-FP:R_0402_5MIL_DWS,RE0402DRE07220KL,,,,,,,,,,,,
49.9k/1%/R0402,R30,OLIMEX_RLC-FP:R_0402_5MIL_DWS,AT0402BRD0749K9L,,,,,,,,,,,,
10R/R0402,"R40, R42",OLIMEX_RLC-FP:R_0402_5MIL_DWS,RC0402FR-0710RL,,,,,,,,,,,,
RA1206_(4X0603)_4B8_2.2k,RM3,OLIMEX_RLC-FP:R_MATRIX_4,4D03WGJ0222T5E,,,,,,,,,,,,
PTS815 SJM 250 SMTR LFS,"SW1, SW2",SW4_PTS815 SJM 250 SMTR LFS_CNK,C&K,,,,,,,,,,,,
CH340T(SSOP20W),U1,OLIMEX_IC-FP:SSOP-20W,CH340T,,,,,,,,,,,,
BL4054B-42TPRN(SOT23-5),U3,OLIMEX_IC-FP:SOT-23-5,BL(Shanghai Belling),,,,,,,,,,,,
ESP32-WROVER-E,U6,OLIMEX_Cases-FP:ESP32-WROVER(WROOM)-UNIVERSAL_MODULE,ESP32-WROVER-E-N8R8,,,,,,,,,,,,
SY8089AAAC(SOT23-5),U7,OLIMEX_Regulators-FP:SOT-23-5,SY8089AAAC,,,,,,,,,,,,
SN74LVC1G04DBVR(SOT23-5),U8,OLIMEX_IC-FP:SOT-23-5,SN74LVC1G04DBVR,,,,,,,,,,,,