Comment,Designator,Footprint,JLCPCB Part #_optional_
LED/YELLOW/0603,ACT1,OLIMEX_LEDs-FP:LED_0603_KA,C2986008
1nF/2000V/10%/X7R/C1206,C2,OLIMEX_RLC-FP:C_1206_5MIL_DWS_ISO,C527363
22uF/6.3V/20%/X5R/C0603,"C9, C10, C13, C19",OLIMEX_RLC-FP:C_0603_5MIL_DWS,C86295
100nF/16V/10%/X7R/C0402,"C11, C14,C15,C16, C18",OLIMEX_RLC-FP:C_0402_5MIL_DWS,C60474
100nF/100V/10%/X7R/C0603,"C12, C24",OLIMEX_RLC-FP:C_0603_5MIL_DWS,C14663
2.2uF/6.3V/10%/X5R/C0603,C17,OLIMEX_RLC-FP:C_0603_5MIL_DWS,C5189830
1.0nF/3kV/10%/X7R/SMD/1808(VISHAY-VJ1808Y102KBHAT4X_Farnell-2407291),"C20, C23",OLIMEX_RLC-FP:C_1808(4520)_5MIL_DWS_ISO,C2939745
NA(10uF/6.3V/20%/X5R/C0603),C21,OLIMEX_RLC-FP:C_0603_5MIL_DWS,C96446
12pF/50V/5%/COG/C0402,C25,OLIMEX_RLC-FP:C_0402_5MIL_DWS,C472446
470uF/10V/20%/Low_ESR/RM2.5/6.0x11mm,C26,OLIMEX_RLC-FP:CPOL-RM2.5mm_6.3x11mm_PTH,C3039776
15uF/100V/20%/RM2.5/6.3x11mm(Farnell:1281844),C27,OLIMEX_RLC-FP:CPOL-RM2.5mm_6.3x11mm_PTH,C2841644
SS510/100V/5A/0.85V/DO214AB(SMC),D5,OLIMEX_Diodes-FP:DO214AB(SMC)_1(K)-2(A),C5339843
SMAJ58A/SMA,D10,OLIMEX_Diodes-FP:SMA-KA,C132936
,,,
WPM2015-3/TR,FET3,OLIMEX_Transistors-FP:SOT23,C6562215
HMTSW-102-X-X-S-X,J3,HMTSW-102-X-X-S-X:SAMTEC_HMTSW-102-X-X-S-X,C234182
C3324132,"J4, J6",CONN_20021111-XX012XXLF_AMP,C3324132
FB0805/600R/2A,L1,OLIMEX_RLC-FP:L_0805_5MIL_DWS,C2661781
LED/GREEN/0603,LNK1,OLIMEX_LEDs-FP:LED_0603_KA,C172883
10k/R0402,"R2, R25, R44",OLIMEX_RLC-FP:R_0402_5MIL_DWS,C60490
1k/R0402,R3,OLIMEX_RLC-FP:R_0402_5MIL_DWS,C106235
49.9R/1%/R0402,"R10,R11,R12,R13",OLIMEX_RLC-FP:R_0402_5MIL_DWS,C851839
2.2k/R0402,"R14, R15",OLIMEX_RLC-FP:R_0402_5MIL_DWS,C144718
24.9k/1%/R0402,R22,OLIMEX_RLC-FP:R_0402_5MIL_DWS,C852664
180k/1%/R0402,R23,OLIMEX_RLC-FP:R_0402_5MIL_DWS,C144794
12.1k/1%/R0402,R26,OLIMEX_RLC-FP:R_0402_5MIL_DWS,C281773
4.42k/1%/1/16W/R0402,R27,OLIMEX_RLC-FP:R_0402_5MIL_DWS,C513571
0.03R/1%/R1206,R28,OLIMEX_RLC-FP:R_1206_5MIL_DWS,C375524
4.7R/R0402,R33,OLIMEX_RLC-FP:R_0402_5MIL_DWS,C137962
10.5k/1%/R0402,R34,OLIMEX_RLC-FP:R_0402_5MIL_DWS,C171695
56.2k/1%/R0402,R38,OLIMEX_RLC-FP:R_0402_5MIL_DWS,C227142
4.7k/R2512,R41,OLIMEX_RLC-FP:R_2512_MM_DWS,C163339
130k/R0402,R43,OLIMEX_RLC-FP:R_0402_5MIL_DWS,C852515
RA1206_(4X0603)_4B8_2.2k,"RM1, RM2",OLIMEX_RLC-FP:R_MATRIX_4,C12001
LMUN2211LT1G(SOT-23),T1,OLIMEX_Transistors-FP:SOT23,C12775
ESDS314DBVR(SOT-23-5),TVS1,OLIMEX_Diodes-FP:SOT-23-5,C1847859
TPS2376PW(TSSOP-8),U2,OLIMEX_IC-FP:TSSOP-8_Pitch-0.65mm_Dimensions-4.40x3.00x1.20mm,C544899
LAN8710A-EZC(QFN32),U4,OLIMEX_IC-FP:QFN32_EP(33)_5.00x5.00x0.90mm_Pitch_0.50mm,C46185
TX4138(ESOIC-8),U5,OLIMEX_Regulators-FP:ESOIC-8,C329267