Designator,Mid X,Mid Y,Layer,Rotation
C2,30.8556,39.56,bottom,180
C9,32.7352,61.6326,bottom,-90
C10,33.6496,55.3842,bottom,90
C12,34.2084,33.0322,bottom,-90
C13,24.8104,48.4754,bottom,-90
C14,16.5808,63.0804,bottom,-90
C15,13.3296,59.88,bottom,180
C16,15.768,59.372,bottom,180
C17,18.8922,58.9148,bottom,180
C18,15.768,60.8452,bottom,180
C19,7.8432,52.9966,bottom,90
C20,29.4332,35.3436,bottom,0
C21,29.5602,62.2168,bottom,180
C23,28.6712,30.6192,bottom,0
C25,19.9336,39.5092,bottom,-90
D5,24.052,45.4528,bottom,0
D8,7.8432,47.5282,bottom,90
FET3,27.61456,49.68444,bottom,0
FID1,13.1772,61.7088,bottom,-90
FID2,37.2564,34.0736,bottom,180
J4,11.5008,44.1828,bottom,90
L1,31.6176,54.3428,bottom,90
R2,33.04,58.4068,bottom,90
R3,35.9356,54.6476,bottom,90
R10,17.4444,52.7172,bottom,-90
R11,22.0672,50.3804,bottom,90
R12,20.6448,50.1264,bottom,90
R13,16.7332,55.1048,bottom,90
R22,41.1172,55.1556,bottom,180
R23,33.1924,43.6748,bottom,-90
R25,28.976,63.8424,bottom,0
R26,15.7172,57.848,bottom,180
R27,42.6412,50.5836,bottom,90
R33,38.5772,36.0548,bottom,180
R34,18.562,39.5092,bottom,-90
R38,17.1904,39.5092,bottom,90
R43,42.5396,46.418,bottom,-90
R44,42.5396,44.0812,bottom,-90
RM1,19.1208,62.166,bottom,90
RM2,24.1754,65.4172,bottom,0
T1,30.0936,58.61,bottom,90
TVS2,18.7144,49.3136,bottom,180
TVS3,23.2864,50.1264,bottom,-90
U2,40.2536,50.4312,bottom,-90
U4,24.241924,60.022723,bottom,90
U5,37.358,39.7632,bottom,90
ACT1,12.974,40.9316,top,90
C11,14.5488,34.8356,top,-90
C24,37.1802,36.6644,top,180
C26,7.888229,42.00634,top,-55
C27,9.478115,58.109644,top,-130
D10,40.2536,46.204,top,-90
DCDC1,24.3024,37.274,bottom,0
FID3,36.7992,34.0228,top,0
FID5,13.228,61.7088,top,0
J2,23.9976,46.164,top,0
J3,22.88,30.6192,top,90
J6,36.4944,44.1828,bottom,90
L4,24.0324,32.8036,top,180
LNK1,12.974,35.2166,top,90
R14,11.1452,35.0896,top,-90
R15,12.974,38.1376,top,-90
R28,40.2028,52.3362,top,90
R41,37.2052,39.9664,top,180
TVS1,11.6684,53.9064,top,-90